Tiempo (ms),Voltaje (mV)
377.8,-56.38668982239824
377.90000000000003,-56.25055572062226
378.0,-56.11306027782851
378.09999999999997,-55.97418988060682
378.20000000000005,-55.83393077941292
378.3,-55.69226908720707
378.40000000000003,-55.54919077807917
378.5,-55.40468168586
378.59999999999997,-55.25872750271862
378.70000000000005,-55.11131377774584
378.8,-54.962425915523326
378.90000000000003,-54.812049174678585
379.0,-54.6601686664254
379.09999999999997,-54.50676935308969
379.20000000000005,-54.35183604662061
379.3,-54.19535340708684
379.40000000000003,-54.03730594115774
379.5,-53.87767800056935
379.59999999999997,-53.716453780575065
379.70000000000005,-53.553617318380844
379.8,-53.38915249156469
379.90000000000003,-53.22304301648036
380.0,-53.05527244664519
380.09999999999997,-52.88582417111167
380.20000000000005,-52.71468141282281
380.3,-52.54182722695107
380.40000000000003,-52.36724449922062
380.5,-52.19091594421285
380.59999999999997,-52.01282410365501
380.70000000000005,-51.83295134469158
380.8,-51.65127985813852
380.90000000000003,-51.46779165671994
381.0,-51.28246857328716
381.09999999999997,-51.09529225902006
381.20000000000005,-50.90624418161029
381.3,-50.715305623426424
381.40000000000003,-50.52245767966072
381.5,-50.32768125645735
381.59999999999997,-50.13095706902196
381.70000000000005,-60.0
381.8,-59.89999900000002
381.90000000000003,-59.79899799000005
382.0,-59.69698696990008
382.09999999999997,-59.59395583959912
382.20000000000005,-59.48989439799514
382.3,-59.38479234197512
382.40000000000003,-59.2786392653949
382.5,-59.17142465804888
382.59999999999997,-59.06313790462939
382.70000000000005,-58.953768283675714
382.8,-58.8433049665125
382.90000000000003,-58.731737016177654
383.0,-58.61905338633946
383.09999999999997,-58.505242920202875
383.20000000000005,-58.39029434940494
383.3,-58.27419629289901
383.40000000000003,-58.15693725582803
383.5,-58.038505628386346
383.59999999999997,-57.91888968467024
383.70000000000005,-57.79807758151697
383.8,-57.67605735733216
383.90000000000003,-57.552816930905514
384.0,-57.4283441002146
384.09999999999997,-57.302626541216775
384.20000000000005,-57.17565180662897
384.3,-57.04740732469529
384.40000000000003,-56.91788039794227
384.5,-56.787058201921724
384.59999999999997,-56.65492778394097
384.70000000000005,-56.521476061780405
384.8,-56.38668982239824
384.90000000000003,-56.25055572062226
385.0,-56.11306027782851
